Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
celebtricity.com,,,1.0,,,1.0,unknown,BF1
channel16news.com,,,1.0,,,,unknown,BF1
channel17news.com,,,1.0,,,,unknown,BF1
channel5000.com,,,1.0,,,,unknown,BF1
channel55news.com,,,1.0,,,,unknown,BF1
channel56news.com,,,1.0,,,,unknown,BF1
channel59news.com,,,1.0,,,,unknown,BF1
channel60news.com,,,1.0,,,,unknown,BF1
channel62news.com,,,1.0,,,,unknown,BF1
channel63news.com,,,1.0,,,,unknown,BF1
channel65news.com,,,1.0,,,,unknown,BF1
channel66news.com,,,1.0,,,,unknown,BF1
channel68news.com,,,1.0,,,,unknown,BF1
channel77news.com,,,1.0,,,,unknown,BF1
checkpointasia.net,FN,low,,,,,low,fake-news
chicagodaily.pro,FN,low,,,,,low,fake-news
christiantimesnewspaper.com,CP,low,1.0,,imposter,,low,conspiracy-pseudoscience
christiantoday.info,CP,low,,,fake-news,,low,conspiracy-pseudoscience
civictribune.com,S,(satire),1.0,,imposter,,satire,satire
clancyreport.com,,,1.0,,,,unknown,BF1
clear-politics.com,R,mixed,,1.0,,,mixed,right
cnewsgo.com,,,,,fake-news,,unknown,fake-news
cnn-business-news.ga,,,,,imposter,,unknown,imposter
cnn-internationaledition.com,,,1.0,,,,unknown,BF1
cnn-trending.com,,,,,,1.0,unknown,unknown
cnnews3.com,,,,,imposter,,unknown,imposter
coffeebreakforyou.com,,,,,fake-news,,unknown,fake-news
collectivelyconscious.net,CP,low,,,,,low,conspiracy-pseudoscience
conservative101.com,FN,low,,,fake-news,1.0,low,fake-news
conservative7.com,,,,,some-fake,,unknown,some-fake
conservativearmy88.com,FN,low,,1.0,fake-news,,low,fake-news
conservativebyte.com,FN,low,,,,,low,fake-news
conservativeflashnews.com,FN,low,,,fake-news,,low,fake-news
conservativeinfocorner.com,,,,,fake-news,,unknown,fake-news
conservativeinfocorner.us,FN,low,,,,,low,fake-news
conservativepaper.com,,,,,fake-news,,unknown,fake-news
conservativepaper.us,,,,1.0,,,unknown,FC1
conservativepoliticus.com,FN,low,,,some-fake,,low,fake-news
conservativespirit.com,FN,low,,,fake-news,,low,fake-news
conservativeview.info,,,,,fake-news,,unknown,fake-news
consinfo.us,,,,1.0,,,unknown,FC1
consmovement.com,FN,low,,,,,low,fake-news
consnation.com,FN,low,,1.0,,,low,fake-news
conspatriot.com,FN,low,,,,,low,fake-news
conspiracyinquirer.com,FN,very-low,,,,,very-low,fake-news
conspiracyplanet.com,CP,low,,,,,low,conspiracy-pseudoscience
countdowntozerotime.com,CP,low,,,,,low,conspiracy-pseudoscience
countercurrentnews.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
counterpropa.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
countynewsroom.info,,,,,,1.0,unknown,unknown
countyweekly.com,,,1.0,,,,unknown,BF1
creationwiki.org,CP,mixed,,,,,mixed,conspiracy-pseudoscience
crusaderjournal.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
cvikasdrv.com,,,1.0,,,,unknown,BF1
dailycurrant.com,S,(satire),1.0,,,,satire,satire
dailyfeed.news,,,,1.0,fake-news,,unknown,fake-news
dailyfinesser.com,,,1.0,,,,unknown,BF1
dailyinfobox.com,FN,very-low,,,fake-news,,very-low,fake-news
dailynews10.com,,,,,imposter,,unknown,imposter
dailynews11.com,,,1.0,,,,unknown,BF1
dailynews3.com,,,1.0,,,,unknown,BF1
dailynews33.com,,,1.0,,,,unknown,BF1
dailynews5.com,,,1.0,,imposter,,unknown,imposter
dailynewsposts.info,,,,,fake-news,,unknown,fake-news
dailynotify.com,FN,low,,,,,low,fake-news
dailypresser.com,FN,low,,,,,low,fake-news
dailysidnews.com,,,,,fake-news,,unknown,fake-news
dailystormer.com,,,,,some-fake,,unknown,some-fake
dailystormer.name,FN,very-low,,,,,very-low,fake-news
dailythings.world,,,,,fake-news,,unknown,fake-news
dailyusaupdate.com,FN,low,,1.0,fake-news,1.0,low,fake-news
dailyworldinformation.com,FN,very-low,,,,,very-low,fake-news
dailyworldupdate.com,,,1.0,,,,unknown,BF1
dallastimes.us,,,1.0,,,,unknown,BF1
damnleaks.com,,,,,fake-news,,unknown,fake-news
damreports.com,FN,very-low,,,,,very-low,fake-news
dangerandplay.com,FN,low,,,,,low,fake-news
debunkingskeptics.com,CP,low,,,,,low,conspiracy-pseudoscience
defenseusa.club,,,,,fake-news,,unknown,fake-news
defund.com,FN,low,,,,,low,fake-news
democraticmoms.com,FN,low,,,fake-news,,low,fake-news
democraticreview.com,FN,low,,,,,low,fake-news
denverguardian.com,FN,very-low,1.0,,,1.0,very-low,fake-news
denverinquirer.com,,,1.0,,imposter,,unknown,imposter
departedme.com,,,,,fake-news,,unknown,fake-news
departedmedia.com,,,,,fake-news,,unknown,fake-news
deplorablemovement2020.news,FN,low,,,,,low,fake-news
dildothedonald.us,,,1.0,,,,unknown,BF1
diyhours.net,,,,,fake-news,,unknown,fake-news
donaldtrumpliedto.us,,,1.0,,,,unknown,BF1
donaldtrumpnews.co,FN,very-low,,,,,very-low,fake-news
donaldtrumppotus45.com,FN,low,,,fake-news,,low,fake-news
downtrend.com,FN,low,,,,,low,fake-news
drainingtheswamp.info,FN,low,,,,,low,fake-news
drudgereport.com.co,,,,,,1.0,unknown,unknown
drugsofficial.com,,,1.0,,,,unknown,BF1
dublintribune.com,,,1.0,,,,unknown,BF1
eaglerising.com,FN,low,,,,,low,fake-news
earthnews2016.com,FN,mixed,,,,,mixed,fake-news
